City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bambous Virieux,MU,2021-10-22 03:45:00,-20.3428,57.7575,77.22,83,75,9.22
67,Tocopilla,CL,2021-10-22 03:41:53,-22.092,-70.1979,61.65,67,20,4.5
68,Longyearbyen,SJ,2021-10-22 03:43:29,78.2186,15.6401,17.44,93,75,8.05
69,Castro,BR,2021-10-22 03:41:26,-24.7911,-50.0119,49.71,95,2,2.8
70,Kibakwe,TZ,2021-10-22 03:45:01,-6.7167,36.3667,63.0,82,47,3.62
71,Ostrovnoy,RU,2021-10-22 03:41:53,68.0531,39.5131,34.57,85,100,19.46
72,Nexo,DK,2021-10-22 03:45:01,55.0607,15.1306,50.09,67,58,33.02
73,Pinega,RU,2021-10-22 03:45:02,64.7001,43.3936,33.94,99,100,3.15
74,Lagoa,PT,2021-10-22 03:43:53,39.05,-27.9833,67.66,72,79,8.95
75,Vestmannaeyjar,IS,2021-10-22 03:45:03,63.4427,-20.2734,42.53,70,98,19.84
76,Anderson,US,2021-10-22 03:45:04,34.5334,-82.6499,66.76,96,75,1.01
77,Berlevag,NO,2021-10-22 03:44:53,70.8578,29.0864,32.0,57,100,23.8
78,Arlington,US,2021-10-22 03:42:39,32.7357,-97.1081,71.11,55,1,1.99
79,Sandwick,GB,2021-10-22 03:45:05,60.0,-1.25,39.02,75,20,23.02
80,Arlit,NE,2021-10-22 03:45:06,18.7369,7.3853,82.99,16,0,8.5
81,Gourcy,BF,2021-10-22 03:45:06,13.2167,-2.35,81.12,57,12,6.29
82,Sharlyk,RU,2021-10-22 03:45:07,52.9167,54.75,44.38,97,100,14.9
83,Gat,IL,2021-10-22 03:45:07,31.61,34.7642,68.4,72,1,3.49
84,Goure,NE,2021-10-22 03:45:08,13.9835,10.2704,83.01,37,2,6.82
85,Inyonga,TZ,2021-10-22 03:45:08,-6.7167,32.0667,70.39,53,85,5.55
86,Formosa,AR,2021-10-22 03:45:09,-26.1775,-58.1781,67.98,60,0,6.91
87,Mana,GF,2021-10-22 03:45:09,5.6592,-53.7767,79.16,85,100,9.62
88,Turukhansk,RU,2021-10-22 03:45:10,65.8167,87.9833,34.43,95,100,7.92
89,Pekin,CN,2021-10-22 03:41:43,39.9075,116.3972,61.21,20,0,3.98
90,Port Alfred,ZA,2021-10-22 03:45:10,-33.5906,26.891,66.18,78,100,5.68
91,Natal,BR,2021-10-22 03:45:11,-5.795,-35.2094,80.82,83,40,6.91
92,Mushie,CD,2021-10-22 03:45:11,-3.0167,16.9,69.75,99,89,0.67
93,Puerto Baquerizo Moreno,EC,2021-10-22 03:45:12,-0.9,-89.6,69.48,87,32,9.24
94,Tamandare,BR,2021-10-22 03:45:12,-8.7597,-35.1047,76.33,88,91,6.42
95,Victoria,HK,2021-10-22 03:44:38,22.2855,114.1577,70.25,79,100,1.99
96,Souillac,MU,2021-10-22 03:42:15,-20.5167,57.5167,77.36,83,75,9.22
97,Sibiti,CG,2021-10-22 03:45:13,-3.6819,13.3499,68.97,98,100,1.28
98,Tasiilaq,GL,2021-10-22 03:45:13,65.6145,-37.6368,35.76,69,100,3.8
99,Taoudenni,ML,2021-10-22 03:41:59,22.6783,-3.9836,72.84,36,0,10.83
100,Codrington,AU,2021-10-22 03:45:14,-38.2667,141.9667,58.24,85,93,8.77
101,Meulaboh,ID,2021-10-22 03:45:14,4.1363,96.1285,80.42,83,85,6.46
102,Kabo,CF,2021-10-22 03:45:14,7.6994,18.629,69.69,96,100,3.69
