City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
293,Venice,US,79.0,overcast clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
295,Carutapera,BR,78.21,overcast clouds,-1.195,-46.02,Lidera
298,Dogondoutchi,NE,80.89,broken clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
301,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
304,Totness,SR,77.95,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
306,Tabuk,PH,80.2,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
309,Maholi,IN,74.68,clear sky,27.6667,80.4667,KISHAN TRACTOR SPEARE PARTS
313,Dwarka,IN,81.36,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
316,Prado,BR,73.38,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
333,Pimenta Bueno,BR,78.46,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
336,Dataganj,IN,74.25,clear sky,28.0333,79.4,Raj Complex
338,Pombas,CV,73.18,clear sky,17.1503,-25.0201,Paul Paradis
342,Mathathane,BW,78.3,few clouds,-22.2687,28.7495,Selepswe Resort
344,Umm Lajj,SA,76.14,clear sky,25.0213,37.2685,Moon light Furnished Units
345,Beruwala,LK,81.91,scattered clouds,6.4788,79.9828,The Palms Hotel
347,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
348,Simoes,BR,78.93,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
350,Ibra,OM,73.56,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
351,Bela,IN,76.91,clear sky,25.9333,81.9833,Raj Bhawan
352,Abonnema,NG,73.4,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
356,Jizan,SA,82.56,clear sky,17.3333,42.6667,شهدان. ابوالحجر
357,Lloro,CO,71.22,overcast clouds,5.4961,-76.5495,aidemi
362,Jacareacanga,BR,73.98,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
363,Kaya,BF,81.25,overcast clouds,13.0917,-1.0844,Maison de l'appelé
364,Luanda,AO,74.28,light rain,-8.8368,13.2343,Hotel Fórum
366,Harindanga,IN,84.18,clear sky,22.0383,88.3214,Hasanur Builders
371,Vangaindrano,MG,71.1,few clouds,-23.35,47.6,Hotel Fanilo
373,Brownsville,US,80.91,clear sky,25.9018,-97.4975,University Inn & Suites
374,Soufriere,LC,82.0,broken clouds,13.8562,-61.0566,Anse Chastanet Resort
375,Muli,MV,82.63,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
376,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
378,Nacala,MZ,73.87,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
379,Birnin Kebbi,NG,78.13,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
383,Puerto Ayacucho,VE,76.08,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
385,Portobelo,PA,79.86,scattered clouds,9.55,-79.65,Scuba Portobelo
386,Ndioum,SN,87.87,broken clouds,16.5129,-14.6471,l'hôtel samassa
387,Bilma,NE,79.25,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
389,Tipitapa,NI,76.66,few clouds,12.1973,-86.0971,Hotel Entre Rios
390,Tucupita,VE,73.42,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
392,Clarence Town,AU,83.07,overcast clouds,-32.5833,151.7833,River Downs Cottage
395,Dingle,PH,85.48,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
397,Grand-Lahou,CI,76.33,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
399,Sao Felix Do Xingu,BR,72.66,broken clouds,-6.6447,-51.995,Rio Xingu Camping
400,Mangrol,IN,81.36,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
401,Limay,PH,75.33,overcast clouds,14.5333,120.55,Man's Forest Inland Resort a.k.a Manansala Resort
403,Guiratinga,BR,80.67,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
413,Jaguarari,BR,70.95,overcast clouds,-10.2639,-40.1958,Hotel Quintal De Casa
420,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
424,Waddan,LY,78.35,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
425,Vilhena,BR,74.52,scattered clouds,-12.7406,-60.1458,Hotel Mirage
427,Bhabua,IN,75.97,clear sky,25.05,83.6167,Kohinoor Hotel
429,Parasia,IN,71.11,clear sky,22.2,78.7667,Hotel Navrang
434,Kishanpur,IN,77.83,clear sky,25.65,81.0167,store
440,Mahibadhoo,MV,82.98,overcast clouds,3.7833,72.9667,Omadhoo Inn
444,Yanam,IN,82.8,light rain,16.7333,82.2167,The Regency Hotel
448,Sinnamary,GF,78.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
451,Piritiba,BR,70.38,moderate rain,-11.7303,-40.5553,Pousada Capim Guine
453,Pedernales,DO,80.49,broken clouds,18.0384,-71.744,Hotel Costa Marina
467,Les Cayes,HT,77.99,broken clouds,18.2,-73.75,Villa Orphee
473,Puerto Colombia,CO,78.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
476,Veraval,IN,81.1,few clouds,20.9,70.3667,Lords Inn Somnath
477,Sharjah,AE,85.24,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
479,Jamshedpur,IN,76.82,haze,22.8,86.1833,Madhuban Motel
481,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
485,Cozumel,MX,82.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
488,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
491,Villa De Cura,VE,71.78,scattered clouds,10.0386,-67.4894,Ceymir Spa
496,Oussouye,SN,76.8,light rain,12.485,-16.5469,Auberge du Routard
503,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
507,Kalabo,ZM,75.81,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
510,Takoradi,GH,76.62,broken clouds,4.8845,-1.7554,Raybow International Hotel
511,Luangwa,ZM,77.2,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
513,Mendi,PG,71.8,few clouds,-6.1761,143.6513,Kiburu Lodge
514,Itarema,BR,79.56,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
516,San Ignacio,BZ,75.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
527,Sapouy,BF,74.46,broken clouds,11.5544,-1.7736,Auberge St Louis
529,Mongo,TD,80.4,few clouds,12.1844,18.693,Résidences du Programme FIDA
531,Bandiagara,ML,83.64,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
532,Porto Nacional,BR,77.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
536,Mineros,BO,85.59,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
539,Quepos,CR,79.9,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
541,Itaituba,BR,75.58,overcast clouds,-4.2761,-55.9836,Hotel Campos
542,Ankpa,NG,70.14,broken clouds,7.3706,7.6253,AA Suites
